Date,Time,Away,Home,Venue,TZ,Description
2023-02-26,01:10 PM,Chicago White Sox,Los Angeles Angels,Tempe Diablo Stadium,US/Arizona,Spring Training
2023-02-26,01:10 PM,Milwaukee Brewers,Colorado Rockies,Salt River Fields at Talking Stick,US/Arizona,Spring Training
2023-02-26,01:10 PM,Oakland Athletics,Milwaukee Brewers,American Family Fields of Phoenix,US/Arizona,Spring Training
2023-02-27,01:05 PM,New York Mets,St. Louis Cardinals,Roger Dean Chevrolet Stadium,US/Eastern,Spring Training
2023-02-27,01:05 PM,Tampa Bay Rays,Baltimore Orioles,Ed Smith Stadium,US/Eastern,Spring Training
2023-02-27,01:05 PM,Minnesota Twins,Boston Red Sox,JetBlue Park,US/Eastern,Spring Training
2023-02-27,01:05 PM,Philadelphia Phillies,Pittsburgh Pirates,LECOM Park,US/Eastern,Spring Training
2023-02-27,01:05 PM,Toronto Blue Jays,Atlanta Braves,CoolToday Park,US/Eastern,Spring Training
2023-02-27,01:05 PM,Miami Marlins,Houston Astros,The Ballpark of the Palm Beaches,US/Eastern,Spring Training
2023-02-27,01:05 PM,Cleveland Guardians,Chicago Cubs,Sloan Park,US/Arizona,Spring Training
2023-02-27,01:05 PM,Colorado Rockies,Oakland Athletics,Hohokam Stadium,US/Arizona,Spring Training
2023-02-27,01:05 PM,Texas Rangers,Cincinnati Reds,Goodyear Ballpark,US/Arizona,Spring Training
2023-02-27,01:05 PM,Seattle Mariners,Chicago White Sox,Camelback Ranch,US/Arizona,Spring Training
2023-02-27,01:05 PM,Milwaukee Brewers,Kansas City Royals,Surprise Stadium,US/Arizona,Spring Training
2023-02-27,01:10 PM,Chicago Cubs,Arizona Diamondbacks,Salt River Fields at Talking Stick,US/Arizona,Spring Training
2023-02-27,01:10 PM,Los Angeles Dodgers,San Diego Padres,Peoria Stadium,US/Arizona,Spring Training
2023-02-27,01:10 PM,San Francisco Giants,Los Angeles Angels,Tempe Diablo Stadium,US/Arizona,Spring Training
2023-02-27,06:35 PM,Detroit Tigers,New York Yankees,George M. Steinbrenner Field,US/Eastern,Spring Training
2023-02-27,06:40 PM,West Virginia Mountaineers,Arizona Diamondbacks,Salt River Fields at Talking Stick,US/Arizona,Exhibition
2023-02-28,01:05 PM,Baltimore Orioles,Pittsburgh Pirates,LECOM Park,US/Eastern,Spring Training
2023-02-28,01:05 PM,St. Louis Cardinals,Washington Nationals,The Ballpark of the Palm Beaches,US/Eastern,Spring Training
2023-02-28,01:05 PM,Toronto Blue Jays,Philadelphia Phillies,BayCare Ballpark,US/Eastern,Spring Training
2023-02-28,01:05 PM,Atlanta Braves,Minnesota Twins,Hammond Stadium,US/Eastern,Spring Training
2023-02-28,01:05 PM,New York Yankees,Tampa Bay Rays,The Stadium at the ESPN Wide World of Sports,US/Eastern,Spring Training
2023-02-28,01:07 PM,Detroit Tigers,Toronto Blue Jays,TD Ballpark,US/Eastern,Spring Training
2023-02-28,01:10 PM,Houston Astros,New York Mets,Clover Park,US/Eastern,Spring Training
2023-02-28,01:05 PM,Kansas City Royals,Cleveland Guardians,Goodyear Ballpark,US/Arizona,Spring Training
2023-02-28,01:05 PM,Cincinnati Reds,Los Angeles Dodgers,Camelback Ranch,US/Arizona,Spring Training
2023-02-28,01:05 PM,Los Angeles Angels,Oakland Athletics,Hohokam Stadium,US/Arizona,Spring Training
2023-02-28,01:05 PM,San Diego Padres,San Francisco Giants,Scottsdale Stadium,US/Arizona,Spring Training
2023-02-28,01:05 PM,Colorado Rockies,Texas Rangers,Surprise Stadium,US/Arizona,Spring Training
2023-02-28,01:10 PM,Cleveland Guardians,Seattle Mariners,Peoria Stadium,US/Arizona,Spring Training
2023-02-28,01:10 PM,Chicago White Sox,Arizona Diamondbacks,Salt River Fields at Talking Stick,US/Arizona,Spring Training
2023-02-28,01:10 PM,Chicago Cubs,Milwaukee Brewers,American Family Fields of Phoenix,US/Arizona,Spring Training
2023-02-28,06:40 PM,Boston Red Sox,Miami Marlins,Roger Dean Chevrolet Stadium,US/Eastern,Spring Training
2023-03-01,01:05 PM,Boston Red Sox,Houston Astros,The Ballpark of the Palm Beaches,US/Eastern,Spring Training
2023-03-01,01:05 PM,Pittsburgh Pirates,Detroit Tigers,Publix Field at Joker Marchant Stadium,US/Eastern,Spring Training
2023-03-01,01:05 PM,Toronto Blue Jays,Baltimore Orioles,Ed Smith Stadium,US/Eastern,Spring Training
2023-03-01,01:05 PM,Philadelphia Phillies,Minnesota Twins,Hammond Stadium,US/Eastern,Spring Training
2023-03-01,01:05 PM,Tampa Bay Rays,Atlanta Braves,CoolToday Park,US/Eastern,Spring Training
2023-03-01,01:05 PM,Washington Nationals,New York Yankees,George M. Steinbrenner Field,US/Eastern,Spring Training
2023-03-01,01:10 PM,New York Mets,Miami Marlins,Roger Dean Chevrolet Stadium,US/Eastern,Spring Training
2023-03-01,01:05 PM,Oakland Athletics,Cincinnati Reds,Goodyear Ballpark,US/Arizona,Spring Training
2023-03-01,01:05 PM,Seattle Mariners,Chicago Cubs,Sloan Park,US/Arizona,Spring Training
2023-03-01,01:05 PM,Arizona Diamondbacks,San Francisco Giants,Scottsdale Stadium,US/Arizona,Spring Training
2023-03-01,01:05 PM,Los Angeles Dodgers,Texas Rangers,Surprise Stadium,US/Arizona,Spring Training
2023-03-01,01:05 PM,Cleveland Guardians,Chicago White Sox,Camelback Ranch,US/Arizona,Spring Training
2023-03-01,01:10 PM,Kansas City Royals,Colorado Rockies,Salt River Fields at Talking Stick,US/Arizona,Spring Training
2023-03-01,01:10 PM,Texas Rangers,San Diego Padres,Peoria Stadium,US/Arizona,Spring Training
2023-03-01,01:10 PM,Milwaukee Brewers,Los Angeles Angels,Tempe Diablo Stadium,US/Arizona,Spring Training
2023-03-02,01:05 PM,Baltimore Orioles,Detroit Tigers,Publix Field at Joker Marchant Stadium,US/Eastern,Spring Training
2023-03-02,01:05 PM,Houston Astros,St. Louis Cardinals,Roger Dean Chevrolet Stadium,US/Eastern,Spring Training
2023-03-02,01:05 PM,Minnesota Twins,Tampa Bay Rays,Tropicana Field,US/Eastern,Spring Training
2023-03-02,01:05 PM,Philadelphia Phillies,Boston Red Sox,JetBlue Park,US/Eastern,Spring Training
2023-03-02,01:05 PM,Miami Marlins,Washington Nationals,The Ballpark of the Palm Beaches,US/Eastern,Spring Training
2023-03-02,01:05 PM,New York Yankees,Pittsburgh Pirates,LECOM Park,US/Eastern,Spring Training
2023-03-02,01:07 PM,Pittsburgh Pirates,Toronto Blue Jays,TD Ballpark,US/Eastern,Spring Training
2023-03-02,01:10 PM,Atlanta Braves,New York Mets,Clover Park,US/Eastern,Spring Training
2023-03-02,01:05 PM,Los Angeles Angels,Kansas City Royals,Surprise Stadium,US/Arizona,Spring Training
2023-03-02,01:05 PM,Arizona Diamondbacks,Los Angeles Dodgers,Camelback Ranch,US/Arizona,Spring Training
2023-03-02,01:05 PM,Oakland Athletics,Chicago Cubs,Sloan Park,US/Arizona,Spring Training
2023-03-02,01:05 PM,San Francisco Giants,Cleveland Guardians,Goodyear Ballpark,US/Arizona,Spring Training
2023-03-02,01:10 PM,San Diego Padres,Seattle Mariners,Peoria Stadium,US/Arizona,Spring Training
2023-03-02,01:10 PM,Chicago White Sox,Colorado Rockies,Salt River Fields at Talking Stick,US/Arizona,Spring Training
2023-03-02,01:10 PM,Texas Rangers,Milwaukee Brewers,American Family Fields of Phoenix,US/Arizona,Spring Training
2023-03-03,01:05 PM,Boston Red Sox,Minnesota Twins,Hammond Stadium,US/Eastern,Spring Training
2023-03-03,01:05 PM,Detroit Tigers,Philadelphia Phillies,BayCare Ballpark,US/Eastern,Spring Training
2023-03-03,01:05 PM,Atlanta Braves,Houston Astros,The Ballpark of the Palm Beaches,US/Eastern,Spring Training
2023-03-03,01:05 PM,Miami Marlins,St. Louis Cardinals,Roger Dean Chevrolet Stadium,US/Eastern,Spring Training
2023-03-03,01:07 PM,Tampa Bay Rays,Toronto Blue Jays,TD Ballpark,US/Eastern,Spring Training
2023-03-03,01:10 PM,Washington Nationals,New York Mets,Clover Park,US/Eastern,Spring Training
2023-03-03,01:05 PM,Kansas City Royals,Oakland Athletics,Hohokam Stadium,US/Arizona,Spring Training
2023-03-03,01:05 PM,Colorado Rockies,San Francisco Giants,Scottsdale Stadium,US/Arizona,Spring Training
2023-03-03,01:05 PM,San Francisco Giants,Texas Rangers,Surprise Stadium,US/Arizona,Spring Training
2023-03-03,01:05 PM,Cincinnati Reds,Chicago White Sox,Camelback Ranch,US/Arizona,Spring Training
2023-03-03,01:05 PM,Milwaukee Brewers,Cleveland Guardians,Goodyear Ballpark,US/Arizona,Spring Training
2023-03-03,01:10 PM,Los Angeles Dodgers,Los Angeles Angels,Tempe Diablo Stadium,US/Arizona,Spring Training
2023-03-03,01:10 PM,Seattle Mariners,Arizona Diamondbacks,Salt River Fields at Talking Stick,US/Arizona,Spring Training
2023-03-03,06:05 PM,Pittsburgh Pirates,Baltimore Orioles,Ed Smith Stadium,US/Eastern,Spring Training
2023-03-03,06:35 PM,Detroit Tigers,New York Yankees,George M. Steinbrenner Field,US/Eastern,Spring Training
2023-03-03,06:40 PM,Chicago Cubs,San Diego Padres,Peoria Stadium,US/Arizona,Spring Training
2023-03-04,01:05 PM,Houston Astros,Boston Red Sox,JetBlue Park,US/Eastern,Spring Training
2023-03-04,01:05 PM,St. Louis Cardinals,Washington Nationals,The Ballpark of the Palm Beaches,US/Eastern,Spring Training
2023-03-04,01:05 PM,Toronto Blue Jays,Detroit Tigers,Publix Field at Joker Marchant Stadium,US/Eastern,Spring Training
2023-03-04,01:05 PM,Pittsburgh Pirates,Philadelphia Phillies,BayCare Ballpark,US/Eastern,Spring Training
2023-03-04,01:05 PM,Atlanta Braves,Baltimore Orioles,Ed Smith Stadium,US/Eastern,Spring Training
2023-03-04,01:05 PM,Minnesota Twins,Atlanta Braves,CoolToday Park,US/Eastern,Spring Training
2023-03-04,01:05 PM,Tampa Bay Rays,New York Yankees,George M. Steinbrenner Field,US/Eastern,Spring Training
2023-03-04,01:10 PM,New York Mets,Miami Marlins,Roger Dean Chevrolet Stadium,US/Eastern,Spring Training
2023-03-04,01:05 PM,Los Angeles Angels,Chicago Cubs,Sloan Park,US/Arizona,Spring Training
2023-03-04,01:05 PM,Kansas City Royals,Cincinnati Reds,Goodyear Ballpark,US/Arizona,Spring Training
2023-03-04,01:05 PM,Cleveland Guardians,Oakland Athletics,Hohokam Stadium,US/Arizona,Spring Training
2023-03-04,01:05 PM,Arizona Diamondbacks,San Francisco Giants,Scottsdale Stadium,US/Arizona,Spring Training
2023-03-04,01:05 PM,Texas Rangers,Chicago White Sox,Camelback Ranch,US/Arizona,Spring Training
2023-03-04,01:10 PM,San Diego Padres,Arizona Diamondbacks,Salt River Fields at Talking Stick,US/Arizona,Spring Training
2023-03-04,01:10 PM,Colorado Rockies,Seattle Mariners,Peoria Stadium,US/Arizona,Spring Training
2023-03-04,01:10 PM,San Francisco Giants,Milwaukee Brewers,American Family Fields of Phoenix,US/Arizona,Spring Training
2023-03-04,01:05 PM,Cincinnati Reds,Oakland Athletics,Las Vegas Ballpark,US/Pacific,Spring Training
2023-03-04,06:05 PM,Los Angeles Dodgers,Kansas City Royals,Surprise Stadium,US/Arizona,Spring Training
2023-03-05,01:05 PM,Washington Nationals,Houston Astros,The Ballpark of the Palm Beaches,US/Eastern,Spring Training
2023-03-05,01:05 PM,New York Mets,St. Louis Cardinals,Roger Dean Chevrolet Stadium,US/Eastern,Spring Training
2023-03-05,01:05 PM,Baltimore Orioles,Tampa Bay Rays,Tropicana Field,US/Eastern,Spring Training
2023-03-05,01:05 PM,Detroit Tigers,Minnesota Twins,Hammond Stadium,US/Eastern,Spring Training
2023-03-05,01:05 PM,Minnesota Twins,Pittsburgh Pirates,LECOM Park,US/Eastern,Spring Training
2023-03-05,01:05 PM,Miami Marlins,Boston Red Sox,JetBlue Park,US/Eastern,Spring Training
2023-03-05,01:05 PM,New York Yankees,Atlanta Braves,CoolToday Park,US/Eastern,Spring Training
2023-03-05,01:07 PM,Philadelphia Phillies,Toronto Blue Jays,TD Ballpark,US/Eastern,Spring Training
2023-03-05,01:05 PM,Arizona Diamondbacks,Cleveland Guardians,Goodyear Ballpark,US/Arizona,Spring Training
2023-03-05,01:05 PM,Kansas City Royals,San Francisco Giants,Scottsdale Stadium,US/Arizona,Spring Training
2023-03-05,01:05 PM,Los Angeles Angels,Texas Rangers,Surprise Stadium,US/Arizona,Spring Training
2023-03-05,01:05 PM,Chicago White Sox,Los Angeles Dodgers,Camelback Ranch,US/Arizona,Spring Training
2023-03-05,01:10 PM,Cincinnati Reds,Los Angeles Angels,Tempe Diablo Stadium,US/Arizona,Spring Training
2023-03-05,01:10 PM,Chicago Cubs,Colorado Rockies,Salt River Fields at Talking Stick,US/Arizona,Spring Training
2023-03-05,01:10 PM,Oakland Athletics,San Diego Padres,Peoria Stadium,US/Arizona,Spring Training
2023-03-05,01:10 PM,Seattle Mariners,Milwaukee Brewers,American Family Fields of Phoenix,US/Arizona,Spring Training
2023-03-05,01:05 PM,Cincinnati Reds,Oakland Athletics,Las Vegas Ballpark,US/Pacific,Spring Training
2023-03-06,01:05 PM,Detroit Tigers,Boston Red Sox,JetBlue Park,US/Eastern,Spring Training
2023-03-06,01:05 PM,Houston Astros,St. Louis Cardinals,Roger Dean Chevrolet Stadium,US/Eastern,Spring Training
2023-03-06,01:05 PM,Philadelphia Phillies,Baltimore Orioles,Ed Smith Stadium,US/Eastern,Spring Training
2023-03-06,01:05 PM,Miami Marlins,Tampa Bay Rays,Tropicana Field,US/Eastern,Spring Training
2023-03-06,01:05 PM,Arizona Diamondbacks,Kansas City Royals,Surprise Stadium,US/Arizona,Spring Training
2023-03-06,01:05 PM,San Diego Padres,Los Angeles Dodgers,Camelback Ranch,US/Arizona,Spring Training
2023-03-06,01:10 PM,Cleveland Guardians,Los Angeles Angels,Tempe Diablo Stadium,US/Arizona,Spring Training
2023-03-06,01:10 PM,Chicago Cubs,Seattle Mariners,Peoria Stadium,US/Arizona,Spring Training
2023-03-06,01:10 PM,Texas Rangers,Colorado Rockies,Salt River Fields at Talking Stick,US/Arizona,Spring Training
2023-03-06,06:35 PM,Pittsburgh Pirates,New York Yankees,George M. Steinbrenner Field,US/Eastern,Spring Training
2023-03-06,06:05 PM,Colorado Rockies,Cincinnati Reds,Goodyear Ballpark,US/Arizona,Spring Training
2023-03-07,01:05 PM,St. Louis Cardinals,Detroit Tigers,Publix Field at Joker Marchant Stadium,US/Eastern,Spring Training
2023-03-07,01:05 PM,Toronto Blue Jays,Pittsburgh Pirates,LECOM Park,US/Eastern,Spring Training
2023-03-07,01:05 PM,Baltimore Orioles,Minnesota Twins,Hammond Stadium,US/Eastern,Spring Training
2023-03-07,01:05 PM,Tampa Bay Rays,Philadelphia Phillies,BayCare Ballpark,US/Eastern,Spring Training
2023-03-07,01:10 PM,Washington Nationals,Miami Marlins,Roger Dean Chevrolet Stadium,US/Eastern,Spring Training
2023-03-07,01:05 PM,San Francisco Giants,Cincinnati Reds,Goodyear Ballpark,US/Arizona,Spring Training
2023-03-07,01:05 PM,Chicago Cubs,Texas Rangers,Surprise Stadium,US/Arizona,Spring Training
2023-03-07,01:05 PM,Milwaukee Brewers,Chicago White Sox,Camelback Ranch,US/Arizona,Spring Training
2023-03-07,01:10 PM,Oakland Athletics,Arizona Diamondbacks,Salt River Fields at Talking Stick,US/Arizona,Spring Training
2023-03-07,01:10 PM,Los Angeles Angels,San Diego Padres,Peoria Stadium,US/Arizona,Spring Training
2023-03-07,06:05 PM,New York Mets,Houston Astros,The Ballpark of the Palm Beaches,US/Eastern,Spring Training
2023-03-07,06:05 PM,Boston Red Sox,Atlanta Braves,CoolToday Park,US/Eastern,Spring Training
2023-03-08,01:05 PM,Washington Nationals,Detroit Tigers,Publix Field at Joker Marchant Stadium,US/Eastern,Spring Training
2023-03-08,01:05 PM,Pittsburgh Pirates,Baltimore Orioles,Ed Smith Stadium,US/Eastern,Spring Training
2023-03-08,01:05 PM,St. Louis Cardinals,New York Yankees,George M. Steinbrenner Field,US/Eastern,Spring Training
2023-03-08,01:05 PM,Dominican Republic,Atlanta Braves,CoolToday Park,US/Eastern,Exhibition
2023-03-08,01:07 PM,Minnesota Twins,Toronto Blue Jays,TD Ballpark,US/Eastern,Spring Training
2023-03-08,01:05 PM,Canada,Chicago Cubs,Sloan Park,US/Arizona,Exhibition
2023-03-08,01:05 PM,Colombia,Oakland Athletics,Hohokam Stadium,US/Arizona,Exhibition
2023-03-08,01:05 PM,Mexico,Cleveland Guardians,Goodyear Ballpark,US/Arizona,Exhibition
2023-03-08,01:10 PM,Colorado Rockies,Los Angeles Angels,Tempe Diablo Stadium,US/Arizona,Spring Training
2023-03-08,01:10 PM,Cincinnati Reds,San Diego Padres,Peoria Stadium,US/Arizona,Spring Training
2023-03-08,01:10 PM,Texas Rangers,Arizona Diamondbacks,Salt River Fields at Talking Stick,US/Arizona,Spring Training
2023-03-08,01:10 PM,Great Britain,Milwaukee Brewers,American Family Fields of Phoenix,US/Arizona,Exhibition
2023-03-08,06:05 PM,Puerto Rico,Boston Red Sox,JetBlue Park,US/Eastern,Exhibition
2023-03-08,06:05 PM,Venezuela,Houston Astros,The Ballpark of the Palm Beaches,US/Eastern,Exhibition
2023-03-08,06:10 PM,Nicaragua,New York Mets,Clover Park,US/Eastern,Exhibition
2023-03-08,06:40 PM,Israel,Miami Marlins,Roger Dean Chevrolet Stadium,US/Eastern,Exhibition
2023-03-08,06:05 PM,Seattle Mariners,Los Angeles Dodgers,Camelback Ranch,US/Arizona,Spring Training
2023-03-08,06:05 PM,Chicago White Sox,Kansas City Royals,Surprise Stadium,US/Arizona,Spring Training
2023-03-08,07:05 PM,United States,San Francisco Giants,Scottsdale Stadium,US/Arizona,Exhibition
2023-03-09,01:05 PM,Detroit Tigers,Pittsburgh Pirates,LECOM Park,US/Eastern,Spring Training
2023-03-09,01:05 PM,Toronto Blue Jays,Tampa Bay Rays,Tropicana Field,US/Eastern,Spring Training
2023-03-09,01:05 PM,Baltimore Orioles,Philadelphia Phillies,BayCare Ballpark,US/Eastern,Spring Training
2023-03-09,01:05 PM,Boston Red Sox,New York Yankees,George M. Steinbrenner Field,US/Eastern,Spring Training
2023-03-09,01:05 PM,Dominican Republic,Minnesota Twins,Hammond Stadium,US/Eastern,Exhibition
2023-03-09,01:05 PM,Nicaragua,St. Louis Cardinals,Roger Dean Chevrolet Stadium,US/Eastern,Exhibition
2023-03-09,01:07 PM,Atlanta Braves,Toronto Blue Jays,TD Ballpark,US/Eastern,Spring Training
2023-03-09,01:10 PM,Venezuela,New York Mets,Clover Park,US/Eastern,Exhibition
2023-03-09,01:05 PM,Cincinnati Reds,Chicago Cubs,Sloan Park,US/Arizona,Spring Training
2023-03-09,01:05 PM,Los Angeles Dodgers,Oakland Athletics,Hohokam Stadium,US/Arizona,Spring Training
2023-03-09,01:05 PM,San Diego Padres,Cleveland Guardians,Goodyear Ballpark,US/Arizona,Spring Training
2023-03-09,01:05 PM,Milwaukee Brewers,San Francisco Giants,Scottsdale Stadium,US/Arizona,Spring Training
2023-03-09,01:05 PM,Colombia,Chicago White Sox,Camelback Ranch,US/Arizona,Exhibition
2023-03-09,01:05 PM,Great Britain,Kansas City Royals,Surprise Stadium,US/Arizona,Exhibition
2023-03-09,01:10 PM,Canada,Seattle Mariners,Peoria Stadium,US/Arizona,Exhibition
2023-03-09,01:10 PM,Mexico,Colorado Rockies,Salt River Fields at Talking Stick,US/Arizona,Exhibition
2023-03-09,01:10 PM,United States,Los Angeles Angels,Tempe Diablo Stadium,US/Arizona,Exhibition
2023-03-09,06:05 PM,Israel,Washington Nationals,The Ballpark of the Palm Beaches,US/Eastern,Exhibition
2023-03-09,03:33 AM,Puerto Rico,Atlanta Braves,CoolToday Park,US/Eastern,Exhibition
2023-03-10,01:05 PM,Toronto Blue Jays,Boston Red Sox,JetBlue Park,US/Eastern,Spring Training
2023-03-10,01:05 PM,Pittsburgh Pirates,Philadelphia Phillies,BayCare Ballpark,US/Eastern,Spring Training
2023-03-10,01:05 PM,Atlanta Braves,Tampa Bay Rays,Tropicana Field,US/Eastern,Spring Training
2023-03-10,01:05 PM,New York Yankees,Detroit Tigers,Publix Field at Joker Marchant Stadium,US/Eastern,Spring Training
2023-03-10,01:10 PM,Houston Astros,New York Mets,Clover Park,US/Eastern,Spring Training
2023-03-10,01:05 PM,Los Angeles Angels,Los Angeles Dodgers,Camelback Ranch,US/Arizona,Spring Training
2023-03-10,01:05 PM,San Diego Padres,Kansas City Royals,Surprise Stadium,US/Arizona,Spring Training
2023-03-10,01:05 PM,Texas Rangers,Oakland Athletics,Hohokam Stadium,US/Arizona,Spring Training
2023-03-10,01:05 PM,Chicago White Sox,Chicago Cubs,Sloan Park,US/Arizona,Spring Training
2023-03-10,01:10 PM,Cincinnati Reds,Seattle Mariners,Peoria Stadium,US/Arizona,Spring Training
2023-03-10,01:10 PM,San Francisco Giants,Colorado Rockies,Salt River Fields at Talking Stick,US/Arizona,Spring Training
2023-03-10,01:10 PM,Cleveland Guardians,Milwaukee Brewers,American Family Fields of Phoenix,US/Arizona,Spring Training
2023-03-10,06:05 PM,New York Mets,St. Louis Cardinals,Roger Dean Chevrolet Stadium,US/Eastern,Spring Training
2023-03-10,06:05 PM,Minnesota Twins,Baltimore Orioles,Ed Smith Stadium,US/Eastern,Spring Training
2023-03-10,06:05 PM,Miami Marlins,Washington Nationals,The Ballpark of the Palm Beaches,US/Eastern,Spring Training
2023-03-10,06:05 PM,Arizona Diamondbacks,Cincinnati Reds,Goodyear Ballpark,US/Arizona,Spring Training
2023-03-11,01:05 PM,St. Louis Cardinals,Houston Astros,The Ballpark of the Palm Beaches,US/Eastern,Spring Training
2023-03-11,01:05 PM,Boston Red Sox,Minnesota Twins,Hammond Stadium,US/Eastern,Spring Training
2023-03-11,01:05 PM,Detroit Tigers,Atlanta Braves,CoolToday Park,US/Eastern,Spring Training
2023-03-11,01:05 PM,New York Yankees,Pittsburgh Pirates,LECOM Park,US/Eastern,Spring Training
2023-03-11,01:05 PM,Philadelphia Phillies,New York Yankees,George M. Steinbrenner Field,US/Eastern,Spring Training
2023-03-11,01:07 PM,Baltimore Orioles,Toronto Blue Jays,TD Ballpark,US/Eastern,Spring Training
2023-03-11,01:05 PM,Chicago Cubs,Los Angeles Dodgers,Camelback Ranch,US/Arizona,Spring Training
2023-03-11,01:05 PM,Oakland Athletics,Cleveland Guardians,Goodyear Ballpark,US/Arizona,Spring Training
2023-03-11,01:05 PM,Los Angeles Dodgers,San Francisco Giants,Scottsdale Stadium,US/Arizona,Spring Training
2023-03-11,01:05 PM,Cincinnati Reds,Texas Rangers,Surprise Stadium,US/Arizona,Spring Training
2023-03-11,01:10 PM,Arizona Diamondbacks,Los Angeles Angels,Tempe Diablo Stadium,US/Arizona,Spring Training
2023-03-11,01:10 PM,Seattle Mariners,Colorado Rockies,Salt River Fields at Talking Stick,US/Arizona,Spring Training
2023-03-11,01:10 PM,Chicago White Sox,San Diego Padres,Peoria Stadium,US/Arizona,Spring Training
2023-03-11,01:10 PM,Kansas City Royals,Milwaukee Brewers,American Family Fields of Phoenix,US/Arizona,Spring Training
2023-03-11,06:10 PM,Tampa Bay Rays,Miami Marlins,Roger Dean Chevrolet Stadium,US/Eastern,Spring Training
2023-03-11,07:05 PM,New York Mets,Washington Nationals,The Ballpark of the Palm Beaches,US/Eastern,Spring Training
2023-03-12,01:05 PM,Boston Red Sox,Baltimore Orioles,Ed Smith Stadium,US/Eastern,Spring Training
2023-03-12,01:05 PM,Washington Nationals,St. Louis Cardinals,Roger Dean Chevrolet Stadium,US/Eastern,Spring Training
2023-03-12,01:05 PM,Minnesota Twins,Detroit Tigers,Publix Field at Joker Marchant Stadium,US/Eastern,Spring Training
2023-03-12,01:05 PM,Toronto Blue Jays,Philadelphia Phillies,BayCare Ballpark,US/Eastern,Spring Training
